dzip,population,case,resident drivers crashing per 10k residents
98037,26889.0,10,3.7189928967235675
98038,31171.0,14,4.491354143274197
98040,22699.0,5,2.2027402088197716
98042,43673.0,22,5.037437318251551
98043,19943.0,12,6.017148874291731
98045,13888.0,3,2.160138248847926
98047,6339.0,7,11.042751222590313
98051,3270.0,7,21.406727828746178
98052,58442.0,7,1.197768727969611
98053,18784.0,5,2.6618398637137988
98055,21904.0,12,5.47845142439737
98056,32489.0,10,3.077964849641417
98057,10613.0,7,6.595684537830962
98058,41938.0,14,3.338261242786971
98059,34463.0,9,2.6114963874299972
98065,12699.0,2,1.5749271596188676
98068,403.0,1,24.81389578163772
98070,10624.0,7,6.588855421686747
98072,22312.0,4,1.7927572606669058
98074,25748.0,1,0.3883796799751437
98075,20715.0,1,0.48274197441467537
98077,13585.0,1,0.736105999263894
98087,29976.0,12,4.00320256204964
98092,39816.0,20,5.023106288929074
98101,10238.0,3,2.930259816370385
98102,20756.0,2,0.9635767970707265
98103,45911.0,9,1.9603145215743503
98104,13095.0,5,3.8182512409316534
98105,43924.0,8,1.8213277479282397
98106,22873.0,8,3.4975735583438987
98107,21147.0,4,1.891521255970114
98108,22374.0,11,4.916420845624385
98109,20715.0,3,1.448225923244026
98110,23025.0,2,0.8686210640608035
98112,21077.0,2,0.9489016463443564
98115,46206.0,7,1.5149547677790762
98116,22241.0,2,0.8992401420799424
98117,31365.0,4,1.275306870715766
98118,42731.0,21,4.9144649083803325
98121,12628.0,3,2.3756731073804245
98122,31454.0,4,1.2716983531506327
98125,37081.0,11,2.966478789676654
98126,20698.0,2,0.9662769349695622
98133,44555.0,13,2.917742116485243
98136,14770.0,3,2.031144211238998
98144,26881.0,12,4.464119638406309
98146,25922.0,15,5.78659054085333
98148,10010.0,8,7.992007992007992
98155,32778.0,8,2.4406614192446154
98166,20301.0,4,1.9703462883601792
98168,33734.0,27,8.00379439141519
98177,19030.0,8,4.203888596952181
98178,24092.0,10,4.150755437489623
98188,23111.0,13,5.625027043399247
98198,34584.0,18,5.20471894517696
