"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
3557,1669,1888,4147,78,0,36,42,0,4069,21,26,0,0,0,106,106,0,3916,4147,54,99,10,0,68,4077,4147,3986,31,0,0,0,0,26,0,0,8,0,18,0,0,0,0,0,0,0,0,13,3916,3986,161,0,23,73,10,161,4147,163,176,3695,3579,1691,1888,111.6,3579,150,3478,531,373,544,154,428,192,1428,963,1301,679,622,91.6,1301,296,42,1912,2235,50.9,116.9,568,135,1973,99003
17211,9030,8181,21836,1964,9,1480,430,45,19872,112,424,483,46,48,1187,1085,102,17572,21836,574,1111,849,270,1236,19878,21836,20128,198,0,0,0,0,424,6,27,56,61,61,67,146,483,46,32,7,7,0,752,18225,20128,1708,0,257,367,214,1708,21836,1237,2395,18283,17841,9311,8530,91.6,17841,3933,15071,2676,2081,2011,1062,1099,1235,3671,1875,3037,1794,1243,69.3,3037,797,365,11313,10523,28.5,93,3995,1070,8958,99004
8064,3726,4338,11159,223,0,223,0,0,10936,30,139,0,0,195,522,522,0,10050,11159,354,414,26,0,307,10729,11159,10488,30,0,0,0,0,139,0,0,117,0,22,0,0,0,0,0,0,0,0,261,10058,10488,671,0,324,275,26,671,11159,734,943,8487,8152,3760,4392,116.8,8152,835,7619,960,1503,1647,1143,924,664,1682,874,1297,530,767,144.7,1297,390,33,5171,5988,39,115.8,3007,509,3722,99005
10142,5330,4812,13649,383,0,162,208,13,13266,202,31,28,20,0,372,316,56,12613,13649,451,115,101,39,200,13295,13649,13130,220,0,0,0,0,31,0,13,0,18,0,0,0,28,20,0,0,20,0,55,12776,13130,519,0,211,84,60,519,13649,1025,788,10581,10264,5420,4844,89.4,10264,651,9850,1377,1682,1732,722,985,1183,3348,1423,2454,1313,1141,86.9,2454,890,141,7327,6322,42.3,86.3,3385,1050,5316,99006
333,194,139,401,0,0,0,0,0,401,0,0,0,0,0,12,12,0,389,401,3,9,0,0,0,401,401,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,389,12,0,3,9,0,12,401,12,0,333,333,194,139,71.6,333,8,333,45,41,16,30,8,72,166,117,143,86,57,66.3,143,26,0,229,172,60.7,75.1,68,26,164,99008
3407,1700,1707,4677,263,0,126,137,0,4414,8,8,0,0,0,667,323,344,3731,4677,307,34,90,29,563,4591,4677,3844,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,70,3758,3844,833,0,232,17,62,833,4677,377,419,3628,3435,1705,1730,101.5,3435,99,3208,412,954,360,322,215,428,1047,470,819,463,356,76.9,819,316,33,2288,2389,40.5,104.4,1242,272,1820,99009
2187,824,1363,3343,557,3,381,157,16,2786,18,59,305,0,0,261,261,0,2143,3343,155,282,362,135,288,2682,3343,2841,104,0,61,0,20,66,0,31,32,0,0,3,0,316,0,0,0,0,0,47,2308,2841,502,0,5,46,41,502,3343,136,125,2286,2263,883,1380,156.3,2263,758,2029,958,385,34,347,26,6,6,0,0,0,0,-,0,0,0,1302,2041,23.3,156.8,1080,568,868,99011
789,433,356,1081,20,0,18,2,0,1061,12,0,0,0,5,23,23,0,1021,1081,28,0,7,0,10,1064,1081,1053,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1036,1053,28,0,16,0,7,28,1081,82,60,824,789,433,356,82.2,789,60,782,144,187,81,144,43,90,221,126,177,65,112,172.3,177,29,22,592,489,37.5,82.6,292,13,400,99012
1017,486,531,1436,30,0,30,0,0,1406,587,9,11,0,0,81,81,0,718,1436,664,25,11,0,0,825,1436,1347,591,0,12,0,0,9,0,0,0,0,0,0,9,11,0,0,0,0,0,0,736,1347,89,0,73,16,0,89,1436,110,102,1092,1022,491,531,108.1,1022,153,1000,166,144,173,133,92,72,244,91,214,78,136,174.4,214,123,0,692,744,34.5,107.5,414,77,577,99013
31,31,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,31,0,0,31,31,31,0,-,31,0,31,0,0,0,0,0,0,31,0,31,31,0,-,31,31,0,31,0,-,-,0,0,31,99014
12964,6450,6514,17913,1285,0,851,341,93,16628,19,399,295,0,0,906,879,27,15009,17913,309,1002,685,202,241,16986,17913,16725,19,0,14,0,0,399,58,23,113,24,35,28,118,398,0,0,0,0,0,84,15825,16725,1188,0,154,388,287,1188,17913,979,689,13481,13237,6644,6593,99.2,13237,433,13003,2451,2912,1826,1620,1409,1153,3386,1840,2851,1368,1483,108.4,2851,729,282,9237,8676,39,93.9,4676,1590,7323,99016
111,44,67,167,29,0,25,4,0,138,2,0,0,0,0,0,0,0,136,167,2,0,0,0,25,140,167,167,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,140,167,0,0,0,0,0,0,167,11,16,141,135,68,67,98.5,135,3,129,13,14,36,6,15,33,30,7,15,6,9,150,15,5,3,84,83,45.6,98.8,32,5,100,99017
227,107,120,277,6,0,0,2,4,271,0,0,3,0,0,20,11,9,248,277,4,5,7,2,9,272,277,257,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,254,257,20,0,2,3,2,20,277,1,22,231,227,107,120,112.1,227,9,216,14,16,41,28,47,24,84,19,66,20,46,230,66,39,8,131,146,54.6,111.5,50,9,159,99018
8234,4683,3551,12261,265,0,222,0,43,11996,109,215,1,0,37,499,431,68,11135,12261,148,436,211,32,123,11829,12261,11743,130,14,0,0,0,215,0,32,43,20,0,25,95,32,0,0,0,0,0,55,11311,11743,518,0,18,221,179,518,12261,1020,991,8781,8298,4747,3551,74.8,8298,388,7911,1087,1833,1767,1393,442,686,2190,1084,1795,1082,713,65.9,1795,573,138,6674,5587,36.6,83.7,3963,859,4824,99019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,-,0,0,0,99020
7441,3823,3618,10139,517,0,349,168,0,9622,15,26,32,59,0,288,252,36,9202,10139,258,76,97,59,101,9913,10139,9795,35,8,20,0,0,26,0,6,20,0,0,0,0,32,59,0,0,59,0,64,9579,9795,344,0,223,19,34,344,10139,872,760,7924,7473,3832,3641,95,7473,294,7238,922,1356,1254,527,694,784,2431,1490,1998,1014,984,97,1998,452,56,5116,5023,43.2,98.2,2666,678,3916,99021
6796,3277,3519,8740,585,0,351,229,5,8155,73,194,155,6,91,193,193,0,7443,8740,170,303,155,6,415,8053,8740,8378,79,0,0,73,0,201,0,7,117,30,47,0,0,155,6,0,0,0,6,246,7691,8378,362,0,91,102,0,362,8740,556,722,7278,6943,3314,3629,109.5,6943,346,6645,1509,1194,1283,359,705,594,1587,578,1127,516,611,118.4,1127,468,81,4099,4641,39.8,113.2,1797,345,3231,99022
642,306,336,883,19,0,0,19,0,864,0,0,0,0,0,18,18,0,846,883,18,0,0,0,19,883,883,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,846,37,0,18,0,0,37,883,100,35,660,642,306,336,109.8,642,33,599,49,142,124,58,108,73,166,37,103,44,59,134.1,103,66,0,458,425,42.6,92.8,241,58,277,99023
4615,2205,2410,5910,196,13,101,67,15,5714,36,70,0,21,0,481,185,296,5106,5910,149,189,0,21,392,5640,5910,5429,71,0,0,0,0,82,0,35,0,0,0,12,35,0,21,0,21,0,0,96,5159,5429,481,0,78,107,0,481,5910,364,248,4848,4698,2235,2463,110.2,4698,121,4658,826,725,620,363,709,581,1389,801,1076,426,650,152.6,1076,248,27,2760,3150,45.8,114.1,1212,277,2387,99025
6902,3289,3613,8521,392,11,344,0,37,8129,166,48,0,0,75,243,217,26,7597,8521,376,66,17,0,112,8210,8521,8278,177,0,0,0,0,48,0,0,17,0,31,0,0,0,0,0,0,0,0,86,7967,8278,243,0,182,18,0,243,8521,403,678,7228,6937,3306,3631,109.8,6937,332,6644,548,696,1377,443,784,574,2650,1485,2356,1070,1286,120.2,2356,729,142,3924,4597,50.2,117.2,1584,330,3360,99026
4999,2381,2618,5832,418,0,241,177,0,5414,8,33,0,0,0,162,89,73,5211,5832,66,33,60,0,256,5579,5832,5670,8,0,0,0,0,33,0,0,32,0,0,0,1,0,0,0,0,0,0,183,5446,5670,162,29,29,0,31,162,5832,342,224,5106,5012,2394,2618,109.4,5012,164,4936,661,825,721,112,733,391,1675,1041,1477,657,820,124.8,1477,408,28,2803,3029,52.7,108.1,820,182,2499,99027
962,436,526,1240,47,0,0,47,0,1193,11,0,0,0,2,9,9,0,1171,1240,20,0,0,0,2,1227,1240,1231,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1218,1231,9,0,9,0,0,9,1240,46,6,986,980,436,544,124.8,980,51,969,190,200,66,162,149,122,293,119,202,101,101,100,202,63,20,548,692,38.3,126.3,260,46,625,99029
521,229,292,633,22,0,2,20,0,611,13,4,0,0,2,47,37,10,545,633,51,23,18,0,32,614,633,566,13,6,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,547,566,67,0,2,17,0,67,633,48,35,546,521,229,292,127.5,521,5,515,68,49,69,31,129,71,141,60,124,67,57,85.1,124,38,26,283,350,55.1,123.7,112,4,369,99030
1077,483,594,1313,29,0,16,13,0,1284,0,0,0,0,18,33,33,0,1233,1313,28,4,1,0,45,1295,1313,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1235,1253,60,0,28,4,1,60,1313,56,86,1112,1085,491,594,121,1085,53,1025,118,213,208,89,147,136,225,136,173,95,78,82.1,173,30,7,587,726,47.1,123.7,228,34,498,99031
648,305,343,826,48,0,38,10,0,778,2,17,0,2,4,17,17,0,736,826,11,17,8,2,12,793,826,809,2,0,0,0,0,17,0,0,15,0,0,0,2,0,2,2,0,0,0,12,776,809,17,0,9,0,8,17,826,72,44,664,652,309,343,111,652,44,621,66,76,89,46,102,87,211,91,165,77,88,114.3,165,61,13,414,412,50.3,99.5,174,35,369,99032
698,324,374,882,18,4,9,5,0,864,11,0,0,0,0,16,16,0,837,882,28,0,4,0,13,857,882,866,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,841,866,16,0,12,0,0,16,882,65,61,731,698,324,374,115.4,698,23,687,64,90,132,37,80,41,272,131,257,109,148,135.8,257,111,15,447,435,49.7,97.3,184,32,421,99033
180,57,123,231,0,0,0,0,0,231,15,0,1,0,0,0,0,0,215,231,15,0,1,0,0,215,231,231,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215,231,0,0,0,0,0,0,231,24,27,180,180,57,123,215.8,180,0,180,65,52,0,0,1,15,62,46,47,16,31,193.8,47,1,0,81,150,34,185.2,51,0,206,99034
1186,530,656,1549,10,0,10,0,0,1539,0,0,0,0,0,0,0,0,1539,1549,0,0,0,0,1,1548,1549,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1548,1549,0,0,0,0,0,0,1549,113,99,1282,1241,545,696,127.7,1241,121,1173,122,102,240,62,212,194,339,153,239,108,131,121.3,239,42,44,698,851,50.3,121.9,308,45,693,99036
11539,5772,5767,15647,1236,0,867,352,17,14411,73,292,153,8,0,530,488,42,13355,15647,411,576,208,73,700,14659,15647,14747,104,0,0,0,21,292,0,19,117,69,0,87,0,153,8,0,8,0,0,431,13759,14747,900,0,245,266,55,900,15647,916,900,12245,11968,5987,5981,99.9,11968,897,11523,1976,2152,2257,1281,944,981,2997,1360,2422,1296,1126,86.9,2422,835,227,7837,7810,39,99.7,3679,921,5758,99037
142,68,74,181,1,0,1,0,0,180,1,0,0,0,0,21,21,0,158,181,22,0,0,0,0,180,181,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,160,21,0,21,0,0,21,181,11,23,160,142,68,74,108.8,142,28,140,2,24,64,3,6,3,16,12,13,5,8,160,13,1,0,79,102,42.5,129.1,39,4,65,99039
628,394,234,778,0,0,0,0,0,778,631,0,13,2,0,14,14,0,118,778,645,0,13,2,0,132,778,764,631,0,0,0,13,0,0,0,0,0,0,0,0,13,2,0,0,2,0,0,118,764,14,0,14,0,0,14,778,58,72,646,632,398,234,58.8,632,35,568,108,92,93,37,61,53,183,82,148,104,44,42.3,148,59,7,468,310,42.3,66.2,146,21,374,99040
1273,606,667,1612,15,0,10,5,0,1597,16,16,0,0,4,17,17,0,1544,1612,29,16,10,0,12,1576,1612,1584,16,0,0,0,0,16,13,0,3,0,0,0,0,0,0,0,0,0,0,4,1548,1584,28,0,10,0,7,28,1612,196,33,1281,1276,609,667,109.5,1276,54,1250,133,138,268,114,58,180,541,232,419,164,255,155.5,419,121,66,706,906,48.5,128.3,336,19,727,99101
481,259,222,580,2,0,0,0,2,578,6,4,0,0,0,16,16,0,552,580,22,4,0,0,0,570,580,564,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,554,564,16,0,16,0,0,16,580,10,9,483,483,261,222,85.1,483,43,474,136,46,64,64,39,50,124,84,96,53,43,81.1,96,12,0,307,273,35.5,88.9,97,23,303,99102
410,173,237,543,0,0,0,0,0,543,3,1,0,0,0,0,0,0,539,543,3,1,0,0,0,539,543,543,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,539,543,0,0,0,0,0,0,543,32,47,446,415,178,237,133.1,415,50,395,44,81,68,30,26,43,137,38,103,54,49,90.7,103,46,19,272,271,40.8,99.6,128,19,253,99103
22,10,12,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,27,3,0,22,22,10,12,120,22,0,22,2,3,2,0,4,2,10,6,9,5,4,80,9,3,0,13,14,55.8,107.7,5,2,16,99105
3954,2102,1852,4743,158,0,148,10,0,4585,52,13,3,63,95,185,185,0,4174,4743,129,129,20,112,140,4462,4743,4558,62,0,0,0,0,13,0,0,0,0,6,7,0,3,63,51,2,0,10,140,4277,4558,185,0,67,52,0,185,4743,196,276,4119,4011,2102,1909,90.8,4011,220,3834,291,425,437,180,388,745,1748,758,1407,791,616,77.9,1407,470,179,2426,2317,57.8,95.5,732,178,2486,99109
1248,653,595,1656,0,0,0,0,0,1656,36,0,0,6,0,69,9,60,1545,1656,45,0,0,6,60,1614,1656,1587,36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,1545,1587,69,0,9,0,0,69,1656,122,43,1269,1265,662,603,91.1,1265,34,1256,204,300,227,124,87,73,346,280,331,149,182,122.1,331,51,0,893,763,40.8,85.4,391,111,659,99110
3113,1574,1539,4057,176,0,112,64,0,3881,73,14,14,0,85,105,23,82,3590,4057,180,101,104,14,268,3807,4057,3851,73,0,0,0,0,14,0,0,7,0,0,7,0,14,0,0,0,0,0,85,3665,3851,206,0,20,0,3,206,4057,303,306,3294,3169,1581,1588,100.4,3169,102,3096,387,648,472,183,337,374,945,401,776,424,352,83,776,269,106,2017,2040,43.9,101.1,888,169,1794,99111
435,216,219,559,20,0,19,1,0,539,0,0,0,0,0,42,42,0,497,559,5,11,26,11,6,547,559,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,516,517,42,0,0,0,26,42,559,48,29,452,435,216,219,101.4,435,20,424,57,55,56,27,19,49,202,115,174,84,90,107.1,174,45,14,280,279,47.1,99.6,124,25,257,99113
9906,5107,4799,13134,788,0,464,306,18,12346,157,121,8,7,61,779,727,52,11213,13134,485,300,257,49,328,12736,13134,12118,157,0,0,0,0,121,0,0,15,0,24,61,21,19,7,0,5,2,0,79,11735,12118,1016,0,312,175,235,1016,13134,808,870,10370,10025,5162,4863,94.2,10025,476,9720,1540,1502,1415,860,863,1027,3468,1912,2951,1608,1343,83.5,2951,689,350,6705,6429,42.9,95.9,3109,822,5903,99114
959,504,455,1261,0,0,0,0,0,1261,30,7,32,0,0,108,51,57,1084,1261,70,15,32,3,57,1192,1261,1153,30,0,0,0,0,7,7,0,0,0,0,0,0,32,0,0,0,0,0,0,1084,1153,108,0,40,8,0,108,1261,53,26,980,966,511,455,89,966,41,951,206,111,107,80,120,60,356,203,312,168,144,85.7,312,99,10,642,619,42.2,96.4,295,145,961,99115
1331,592,739,1706,76,0,53,13,10,1630,726,9,0,3,0,128,128,0,764,1706,858,17,49,8,5,918,1706,1570,755,0,4,0,21,9,0,5,0,0,0,4,0,0,3,3,0,0,0,0,803,1570,136,21,74,3,22,136,1706,109,118,1406,1367,617,750,121.6,1367,172,1296,138,209,215,55,95,89,464,238,403,214,189,88.3,403,88,77,761,945,43.4,124.2,339,103,801,99116
376,187,189,516,2,0,2,0,0,514,10,0,0,3,0,9,6,3,492,516,15,3,0,6,3,501,516,507,12,3,6,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,492,507,9,0,3,0,0,9,516,49,79,427,379,190,189,99.5,379,41,357,23,64,71,15,19,46,135,51,106,48,58,120.8,106,46,9,247,269,41.3,108.9,137,3,240,99117
637,278,359,811,43,0,13,30,0,768,3,0,0,0,0,98,91,7,667,811,88,7,13,0,20,802,811,706,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,697,706,105,0,78,0,6,105,811,31,51,665,646,280,366,130.7,646,50,610,91,43,76,67,92,74,235,130,196,109,87,79.8,196,38,28,348,463,48.7,133,165,40,482,99118
1239,570,669,1491,23,0,20,3,0,1468,187,0,1,0,18,104,84,20,1158,1491,291,0,4,0,45,1260,1491,1384,203,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1158,1384,107,0,81,0,1,107,1491,87,103,1273,1239,570,669,117.4,1239,43,1213,95,86,175,22,166,123,605,358,530,222,308,138.7,530,155,17,674,817,57.4,121.2,252,61,1295,99119
237,166,71,272,0,0,0,0,0,272,14,6,0,0,0,28,28,0,224,272,42,6,0,0,0,252,272,244,14,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,224,244,28,0,28,0,0,28,272,6,10,253,243,172,71,41.3,243,87,225,4,6,41,3,55,13,44,17,37,19,18,94.7,37,20,0,192,80,52,41.7,29,10,138,99121
3085,1551,1534,4269,201,0,158,43,0,4068,34,35,2,14,0,156,141,15,3827,4269,148,58,57,57,78,4065,4269,4101,72,0,4,0,8,35,0,0,26,6,0,3,0,30,14,0,8,0,6,51,3899,4101,168,0,58,12,12,168,4269,375,290,3244,3116,1554,1562,100.5,3116,195,2963,258,490,506,232,302,319,1127,606,928,436,492,112.8,928,276,46,2063,2206,42.8,106.9,1153,374,2227,99122
874,424,450,1031,0,0,0,0,0,1031,124,0,0,0,0,17,17,0,890,1031,141,0,0,0,0,907,1031,1014,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,1014,17,0,17,0,0,17,1031,23,59,914,885,435,450,103.4,885,18,855,78,80,86,49,72,116,462,291,405,185,220,118.9,405,71,43,483,548,60.3,113.5,146,45,552,99123
189,108,81,258,18,0,15,3,0,240,109,0,0,0,0,10,10,0,121,258,134,0,0,0,5,131,258,246,122,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,246,12,0,10,0,0,12,258,17,12,195,189,108,81,75,189,8,189,27,21,31,15,9,21,88,40,72,37,35,94.6,72,23,9,147,111,48.5,75.5,69,25,128,99124
459,232,227,647,36,0,36,0,0,611,0,0,2,0,0,22,22,0,587,647,20,2,8,0,6,645,647,625,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,623,625,22,0,14,2,0,22,647,67,67,491,459,232,227,97.8,459,17,428,44,117,38,63,39,76,153,67,111,44,67,152.3,111,39,5,292,355,42.3,121.6,188,8,294,99125
500,252,248,765,45,0,45,0,0,720,73,0,0,0,0,75,75,0,572,765,148,0,0,0,0,692,765,690,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,690,75,0,75,0,0,75,765,65,84,552,500,252,248,98.4,500,18,472,39,46,67,90,117,82,155,70,103,16,87,543.8,103,33,0,455,310,41.2,68.1,265,54,358,99126
225,101,124,291,11,0,10,1,0,280,0,6,0,0,0,4,0,4,270,291,1,6,0,0,6,283,291,286,1,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,1,278,286,5,0,0,0,0,5,291,22,14,235,225,101,124,122.8,225,9,214,16,29,67,16,24,26,68,33,52,32,20,62.5,52,17,2,125,166,47.7,132.8,66,16,160,99128
505,231,274,625,42,0,35,7,0,583,211,18,0,0,0,49,49,0,305,625,302,18,0,0,7,380,625,550,227,0,10,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,305,550,75,0,68,0,0,75,625,33,30,517,505,231,274,118.6,505,48,495,43,102,68,38,32,46,175,94,159,68,91,133.8,159,50,15,275,350,44.2,127.3,120,26,415,99129
574,309,265,791,3,0,3,0,0,788,9,0,0,0,0,78,46,32,701,791,62,0,0,0,35,775,791,710,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,710,81,0,46,0,0,81,791,95,47,595,574,309,265,85.8,574,20,561,76,106,96,43,51,55,192,116,161,105,56,53.3,161,36,9,418,373,41.1,89.2,217,41,364,99130
129,77,52,132,0,0,0,0,0,132,0,0,0,0,0,2,2,0,130,132,2,0,0,0,0,132,132,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,2,0,2,0,0,2,132,0,3,132,129,77,52,67.5,129,0,129,2,4,15,0,9,19,90,59,80,57,23,40.4,80,16,5,80,52,70.1,65,3,0,127,99131
1169,585,584,1440,162,0,129,29,4,1278,211,12,0,2,9,66,66,0,978,1440,359,12,2,10,34,1120,1440,1343,292,0,0,0,0,12,0,0,9,3,0,0,0,0,2,2,0,0,0,14,1023,1343,97,0,67,0,2,97,1440,126,92,1222,1177,588,589,100.2,1177,58,1113,146,130,171,69,153,76,469,269,408,217,191,88,408,89,50,733,707,52.1,96.5,263,11,917,99133
470,249,221,572,103,0,103,0,0,469,8,0,15,0,0,30,28,2,416,572,63,7,26,3,3,523,572,528,30,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,482,528,44,0,24,4,5,44,572,48,47,490,470,249,221,88.8,470,50,446,40,54,74,14,65,30,154,96,139,73,66,90.4,139,38,5,286,286,47,100,102,11,306,99134
